Tijdstempel;E-mailadres;Vul je voor- en achternaam in:;Vul je (Zuyd) studentnummer in:;Ben je vegetarisch?;Heb je allergieën?;Welke allergie (allergieën) heb je?;Op welke dag(en) ben je aanwezig? (Meerdere antwoorden zijn mogelijk);Neem je deel aan de overnachting in het Zuyd gebouw?;Aan welke lezing neem je deel?;Kies je workshop;Kies je workshop;Wil je een plek reserveren voor je ingeschreven lezing?;Plek reserveren;Groep reserveren;Groepslid 1;Groepslid 2;Groepslid 3;Groepslid 4;Groepslid 5;Groepslid 6;Groepslid 7;Hoeveel groepsleden heb je ingevuld? (exclusief jezelf)
11-05-18 16:45;bas1@outlook.com;bas korver1;1;Nee;Nee;;Alle dagen;Ja: de nacht van vrijdag op zaterdag.;"Lezing ""de nieuwste oplossingen om de Space Frontier te overwinnen""";Workshop 1 Oplossingen;;Ja;Ja;Nee;;;;;;;;
11-05-18 16:47;bas2@outlook.com;bas korver2;2;Ja;Ja;Lactose;Vrijdag en zaterdag;Nee;"Lezing ""de nieuwste oplossingen om de Space Frontier te overwinnen""";Workshop 2 Oplossingen;;Ja;Ja;Ja;bas korver1;bas korver3;;;;;;2
11-05-18 16:48;bas3@outlook.com;bas korver3;3;Nee;Ja;lactose;Vrijdag en zaterdag;Ja: de nacht van vrijdag op zaterdag én de nacht van zaterdag op zondag.;"Lezing ""de nieuwste oplossingen om de Space Frontier te overwinnen""";Workshop 3 Oplossingen;;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver4;4;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver5;5;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver6;6;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver7;7;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver8;8;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver9;9;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver10;10;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver11;11;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver12;12;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver13;13;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver14;14;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver15;15;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver16;16;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver17;17;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver18;18;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver19;19;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver20;20;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver21;21;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver22;22;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver23;23;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver24;24;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver25;25;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver26;26;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver27;27;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver28;28;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver29;29;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver30;30;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver31;31;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver32;32;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver33;33;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver34;34;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver35;35;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver36;36;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver37;37;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver38;38;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver39;39;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver40;40;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver41;41;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver42;42;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver43;43;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver44;44;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver45;45;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver46;46;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver47;47;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver48;48;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver49;49;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver50;50;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver51;51;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver52;52;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver53;53;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver54;54;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver55;55;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver56;56;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver57;57;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver58;58;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver59;59;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver60;60;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver61;61;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver62;62;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver63;63;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver64;64;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver65;65;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver66;66;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver67;67;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver68;68;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver69;69;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver70;70;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 2 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver71;71;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 3 Charme;Ja;Ja;Nee;;;;;;;;
11-09-18 17:11;bas4@outlook.com;bas korver72;72;Nee;Nee;;Alle dagen;Nee;"Lezing ""de charme van Space Exploration""";;Workshop 1 Charme;Ja;Ja;Nee;;;;;;;;
